s.no,state,category,total,,,,,
1,Andaman & Nicobar Island,ELECTRIC(BOV),36,,,,,
2,Andhra Pradesh,ELECTRIC(BOV),36204,,,,,
3,Andhra Pradesh,STRONG HYBRID EV,27,,,,,
4,Arunachal Pradesh,ELECTRIC(BOV),33,,,,,
5,Arunachal Pradesh,STRONG HYBRID EV,1,,,,,
6,Assam ,ELECTRIC(BOV),63443,,,,,
7,Assam ,STRONG HYBRID EV,14,,,,,
8,Bihar ,ELECTRIC(BOV),96465,,,,,
9,Bihar ,PURE EV,18,,,,,
10,Bihar ,STRONG HYBRID EV,9,,,,,
11,Chhattisgarh,ELECTRIC(BOV),42024,,,,,
12,Chhattisgarh,PURE EV,22,,,,,
13,Chhattisgarh,STRONG HYBRID EV,19,,,,,
14,Chandigarh,ELECTRIC(BOV),6548,,,,,
15,Chandigarh,STRONG HYBRID EV,6,,,,,
16,DNH and DD,ELECTRIC(BOV),218,,,,,
17,DNH and DD,STRONG HYBRID EV,3,,,,,
18,Delhi,ELECTRIC(BOV),78916,,,,,
19,Delhi,PURE EV,12,,,,,
20,Delhi,STRONG HYBRID EV,256,,,,,
21,Goa,ELECTRIC(BOV),11035,,,,,
22,Goa,PURE EV,4,,,,,
23,Goa,STRONG HYBRID EV,6,,,,,
24,Gujarat ,ELECTRIC(BOV),88437,,,,,
25,Gujarat ,PURE EV,14,,,,,
26,Gujarat ,STRONG HYBRID EV,100,,,,,
27,Himachal Pradesh,ELECTRIC(BOV),1191,,,,,
28,Himachal Pradesh,STRONG HYBRID EV,1,,,,,
29,Haryana,ELECTRIC(BOV),33510,,,,,
30,Haryana,STRONG HYBRID EV,49,,,,,
31,Jharkhand ,ELECTRIC(BOV),22336,,,,,
32,Jharkhand ,PURE EV,4,,,,,
33,Jharkhand ,STRONG HYBRID EV,5,,,,,
34,Jammu and Kashmir,ELECTRIC(BOV),11649,,,,,
35,Jammu and Kashmir,PURE EV,6,,,,,
36,Jammu and Kashmir,STRONG HYBRID EV,13,,,,,
37,Karnataka,ELECTRIC(BOV),169907,,,,,
38,Karnataka,PURE EV,243,,,,,
39,Karnataka,STRONG HYBRID EV,340,,,,,
40,Kerala,ELECTRIC(BOV),80949,,,,,
41,Kerala,PURE EV,21,,,,,
42,Kerala,STRONG HYBRID EV,22,,,,,
43,Ladakh,ELECTRIC(BOV),41,,,,,
44,Maharashtra,ELECTRIC(BOV),212354,,,,,
45,Maharashtra,PURE EV,129,,,,,
46,Maharashtra,STRONG HYBRID EV,301,,,,,
47,Meghalaya,ELECTRIC(BOV),498,,,,,
48,Manipur,ELECTRIC(BOV),269,,,,,
49,Madhya Pradesh,ELECTRIC(BOV),76407,,,,,
50,Madhya Pradesh,PURE EV,815,,,,,
51,Madhya Pradesh,STRONG HYBRID EV,7,,,,,
52,Mizoram,ELECTRIC(BOV),275,,,,,
53,Nagaland,ELECTRIC(BOV),8,,,,,
54,Nagaland,STRONG HYBRID EV,2,,,,,
55,Odisha,ELECTRIC(BOV),51985,,,,,
56,Odisha,PURE EV,1,,,,,
57,Odisha,STRONG HYBRID EV,10,,,,,
58,Punjab,ELECTRIC(BOV),31903,,,,,
59,Punjab,PURE EV,3,,,,,
60,Punjab,STRONG HYBRID EV,106,,,,,
61,Puducherry,ELECTRIC(BOV),3249,,,,,
62,Puducherry,STRONG HYBRID EV,1,,,,,
63,Rajasthan,ELECTRIC(BOV),98348,,,,,
64,Rajasthan,PURE EV,1359,,,,,
65,Rajasthan,STRONG HYBRID EV,51,,,,,
66,Tamil Nadu,ELECTRIC(BOV),101203,,,,,
67,Tamil Nadu,STRONG HYBRID EV,142,,,,,
68,Tripura,ELECTRIC(BOV),7568,,,,,
69,Uttarakhand,ELECTRIC(BOV),17237,,,,,
70,Uttarakhand,PURE EV,1,,,,,
71,Uttarakhand,STRONG HYBRID EV,3,,,,,
72,Uttar Pradesh,ELECTRIC(BOV),305925,,,,,
73,Uttar Pradesh,PURE EV,58,,,,,
74,Uttar Pradesh,STRONG HYBRID EV,139,,,,,
75,West Bengal,ELECTRIC(BOV),26646,,,,,
76,West Bengal,PURE EV,7,,,,,
77,West Bengal,STRONG HYBRID EV,15,,,,,